,Classificação,Latitude,Longitude,Nome
0,(26),-23.299955,-51.184416,Espaço Smart
1,(235),-23.353330,-51.137791,Depósito Roseira - Construção e Acabamentos
2,(317),-23.301205,-51.169041,Depósito São Marcos
3,(150),-23.258204,-51.144291,Depósito Alvorada - Materiais de Construção
4,(12),-23.344830,-51.188916,Gol Materiais Para Construção
5,(6),-23.351455,-51.164041,Depósito de Materiais Casa & Construção
6,(410),-23.312455,-51.143541,Leroy Merlin Londrina
7,(274),-23.258079,-51.163416,Todimo
8,(1),-23.309580,-51.155291,Papaes Comércio Materiais de Construção
9,(29),-23.310830,-51.195916,Felix Acabamentos e Material Para Construção
10,(29),0,0,Felix Acabamentos e Material Para Construção
11,(35),-23.323705,-51.137041,Depósito Aeroporto Materiais para Construção
12,(725),-23.300455,-51.184791,Todimo
13,(184),-23.294580,-51.171416,Depósito LC
14,(197),-23.320955,-51.189666,Dr. Tem Tudo Casa e Construção
15,,-23.301580,-51.174541,Aqui K J R Pisos e Materiais de Construção
16,(2),-23.367330,-51.141666,Depósito Eliane Materiais de Construção
17,(28),-23.301705,-51.206666,Serra Morena Materiais para Construção
18,(4),-23.304205,-51.151916,DEPÓSITO BRASIL SUL
19,(847),-23.296205,-51.202416,Telhanorte Tiradentes
20,(54),-23.315955,-51.115166,Depósito Eliseu Materiais p/ Construção
21,(6),-23.312830,-51.215791,Londrimassa Concreto e Materiais para Construção
22,(235),-23.353330,-51.137791,Depósito Roseira - Construção e Acabamentos
23,(14),-23.308830,-51.365291,Bremen Tintas
24,,-23.315580,-51.176916,Roschel Materiais de Construção
25,(1),-23.282330,-51.194666,Lajomad Comércio de Lajotas Madeiras e Materiais para Construção Ltda
26,(64),-23.328705,-51.143541,Cunha e Castro - Materiais de Construção
27,(64),0,0,Cunha e Castro - Materiais de Construção
28,(64),0,0,Cunha e Castro - Materiais de Construção
29,(5),-23.367081,-51.134273,Deposito Sanderson 1
30,,-23.352955,-51.137916,Depósito Pizza Materiais para Construção
31,(42),-23.343830,-51.165041,Parceiros da Construção - Casa & Acabamentos
32,(7),-23.292705,-51.160541,COFERLON-Comercial de Ferragens Londrina
33,(8),-23.300580,-51.182541,Globo Pisos
34,(1),-23.318205,-51.126541,Duk Mellos Materiais Construção
35,(44),-23.330205,-51.141916,Depósito Califórnia - Materiais de Construção
36,(118),-23.264205,-51.175166,Depósito Casa Grande - Materiais para Construção
37,(4),-23.281080,-51.153416,Depósito Lucas Materiais de Construção
38,(35),-23.262330,-51.183541,Bispo's-Materiais de Construção
39,(52),-23.307955,-51.166541,Casa Acabamentos
40,(202),-23.339580,-51.147041,Príncipe - Casa e Construção
41,(17),-23.359205,-51.155916,Depósito de Materiais de Construção Buba
42,(43),-23.331080,-51.151666,Depósito Eldorado
43,(63),-23.318830,-51.112291,Depósito Constril Material para Construção
44,(235),-23.353330,-51.137791,Depósito Roseira - Construção e Acabamentos
45,(14),-23.308830,-51.365291,Bremen Tintas
46,(7),-23.301205,-51.180666,Alternativa Acabamentos Londrina
47,(3),-23.364830,-51.143666,Casa da Construção
48,(91),-23.260205,-51.165166,Depósito Betel - Materiais de Construção e Madeireira
49,(4),-23.296580,-51.195166,Depósito VERA CRUZ - Materiais de Construção
50,(127),-23.285580,-51.210416,Todimo Centro de Distribuição
51,(1),-23.279243,-51.171826,Central Norte e Concrevith Materiais para construção
52,,-23.295330,-51.145416,Tapuias Madeiras e Materiais para Construção
53,(1),-23.307955,-51.166541,Casa Acabamentos
54,(176),-23.328205,-51.117541,Depósito Romani Construção e Acabamentos
55,(115),-23.317080,-51.176666,DEPOSITO MARINGA
56,(4),-23.294330,-51.153541,Madeireira Itaúba e Materiais para Construção
57,(8),-23.299955,-51.184291,JML Acabamentos
58,(8),0,0,JML Acabamentos
59,,-23.265705,-51.175291,Depósito Brasil Sul
60,(78),-23.285205,-51.184916,Magrão Mat. para Construção
61,(102),-23.268455,-51.175166,Depósito Colibri Materiais para Construção
62,(117),-23.321580,-51.109916,Depósito Montimó IV
63,(20),-23.282455,-51.194416,Depósito Mônaco e Ferragens
64,(2),-23.284080,-51.206291,Reinaldo Matos Materiais para Construção
65,(2),0,0,Reinaldo Matos Materiais para Construção
66,(235),-23.353330,-51.137791,Depósito Roseira - Construção e Acabamentos
67,(2),-23.296830,-51.251666,Dickasa Ferragens e Construção
68,(90),-23.304330,-51.198541,DEPÓSITO BANDEIRANTES
69,(76),-23.260705,-51.186541,DEPOSITO AMIGAO
70,(15),-23.312330,-51.151416,Diprotec - Distr. Produtos Técnicos para Construção Civil
71,(58),-23.286080,-51.122666,Depósito Casa Nova
72,(12),-23.285080,-51.120541,Depósito Maritacas
73,(235),-23.353330,-51.137791,Depósito Roseira - Construção e Acabamentos
74,(15),-23.312580,-51.135041,Depósito Construforte
75,(15),-23.297580,-51.172166,Depósito Araguaia
76,(7),-23.348830,-51.144666,Depósito Igapó
77,(3),-23.349080,-51.145541,Casa Shop Porcelanato
78,(2),-23.256954,-51.157416,Deposito Saul Elkind
79,(10),-23.303830,-51.151916,Ponto Util Comercio de Materiais Hidraulicos
80,(232),-23.288830,-51.155291,Depósito LondriNorte
81,(4),-23.289705,-51.196166,Depósito Locasa
82,(54),-23.260705,-51.173916,Depósito Baratão
83,(2),-23.281330,-51.154791,Art Forro Londrina
84,(20),-23.274830,-51.149041,Depósito Tropical
85,(26),-23.294080,-51.171666,GMAC Atacado da Construção - CD Londrina
86,(17),-23.312705,-51.156541,Casa Paulo
87,(118),-23.307580,-51.221166,Depósito Montten
88,(235),-23.353330,-51.137791,Depósito Roseira - Construção e Acabamentos
89,(26),-23.299955,-51.184416,Espaço Smart
90,(280),-23.357580,-51.151041,DEPÓSITO ROMANI
91,(280),0,0,DEPÓSITO ROMANI
92,(12),-23.366973,-51.134085,Depósito Montimó
93,(12),0,0,Depósito Montimó
94,,-23.306455,-51.167166,IMPERCOM IMPERMEABILIZANTE
95,(4),-23.288705,-51.209291,Porto de Areia Londrina
96,(4),0,0,Porto de Areia Londrina
97,(88),-23.282455,-51.187166,Depósito Santiago
98,(11),-23.302580,-51.129416,Naldo Materiais
99,,-23.333205,-51.172166,Nice
100,(6),-23.326330,-51.156541,Artrofix Comércio de Materiais Cirúrgicos
101,(51),-23.283080,-51.197916,Depósito Leonor
102,(16),-23.291330,-51.168041,Açofer
103,,-25.502458,-49.282106,Eletronor Materiais Elétricos
104,(1),-23.267330,-51.172291,Casa Boa Vista Materiais Elétricos Hidráulicos e Ferramentas
105,(90),-23.304705,-51.161291,Diviplus Acabamentos
106,(90),0,0,Diviplus Acabamentos
107,(1),-23.301705,-51.175166,Kijanelas Tudo em Portas e Janelas
108,(2),-23.298830,-51.162291,Art Jato-Jateamento em Vidro
109,(2),0,0,Art Jato-Jateamento em Vidro
110,(235),-23.353330,-51.137791,Depósito Roseira - Construção e Acabamentos
111,(2),-23.296830,-51.251666,Dickasa Ferragens e Construção
112,(6),-23.312330,-51.118416,Romani - Construção e Acabamentos
113,(2),-23.354455,-51.149291,HOUSE Pisos Porcelanato e Acabamentos londrina construção
114,(2),-23.302330,-51.161416,Sintecadora Paulista
115,(2),-23.302580,-51.171916,Ditudo Material Eletrico & Hidraulicos
116,,-23.314705,-51.157416,Forte Acessórios Industriais - Filial Londrina
117,(2),-23.292080,-51.162916,Inox Londrina-Comércio de Metais
118,(5),-23.301455,-51.166416,Lotus Materiais para Borracharia
119,(79),-23.291830,-51.236916,Deposito Menezes
120,,-23.303038,-51.170799,TINTAS LONDRINA
121,,-23.306330,-51.166666,Multi-Itens
122,,-23.301205,-51.168666,Arte & Cor Tintas
123,(1),-23.302455,-51.171791,MARANDOLA TINTAS
124,(1),-23.298330,-51.168791,JC Parafusos
125,(23),-23.287330,-51.198541,Santa Rita - Depósito e Massa Pronta em Londrina
126,(75),-23.300205,-51.145666,Fran Portas e Janelas
127,(1),-23.316580,-51.146791,Gessomax Comércio de Gesso LTDA-ME
128,,-23.293944,-51.160393,SINTECO LONDRINA / LIXAMENTO TACO - ASSOALHO - APLICAÇÃO SINTECO - RESTAURAÇÃO PISO MADEIRA
129,,-23.298955,-51.165166,RPM TINTAS
130,,0,0,RPM TINTAS
131,,-23.301705,-51.162541,Mundial Tintas
132,(2),-23.296830,-51.251666,Dickasa Ferragens e Construção
133,(280),-23.357580,-51.151041,DEPÓSITO ROMANI
134,(66),-23.303080,-51.168166,Ferramentas Londrina
135,(66),0,0,Ferramentas Londrina
136,(7),-23.302080,-51.248416,Depósito Brasil Sul
137,,-23.297955,-51.166041,Pa Ubá Artefatos de Madeira
138,(1),-23.322330,-51.175916,Kian Arte em Tapetes - Londrina
139,(3),-23.318580,-51.147416,Pisos Laminados Londrina
140,(1),-23.302330,-51.161416,Verniz Antichama Londrina
141,,-23.303330,-51.169541,Metalúrgica e Serralheria Souza'rte
142,,0,0,Metalúrgica e Serralheria Souza'rte
143,(40),-23.300580,-51.162916,Pisolon
144,(28),-23.306205,-51.158166,Compenfort
145,(15),-23.306205,-51.167791,Viva Cor Tintas Londrina
146,(14),-23.309330,-51.157666,Londokap sua Kapazi em Londrina
147,(36),-23.306455,-51.167166,Casa das Tintas
148,,-23.300580,-51.182541,J Brito Madeiras
149,(6),-23.314330,-51.157541,Sinteco Londrina
150,(14),-23.304580,-51.162666,Alvorada Tintas Automotivas - Londrina
151,(72),-23.316580,-51.155291,Tintas Darka - Duque - Londrina
152,,-23.294580,-51.159666,Serralheria Tietê
153,,-23.302580,-51.171791,Serralheria Portaco
154,(36),-23.299955,-51.184041,Casa Do Construtor Londrina
155,,-23.304080,-51.168916,Telhacor Tintas
156,(5),-23.292080,-51.162916,Inox Londrina
157,(7),-23.300580,-51.170916,Stillo Acabamentos
158,(2),-23.302330,-51.161416,Synteko & Tintas
159,(10),-23.294455,-51.163041,Jk Distribuidora de Parafusos e Borrachas
160,(10),0,0,Jk Distribuidora de Parafusos e Borrachas
161,(2),-23.306705,-51.148166,Barroso Concertina | Concertina Londrina e Região
162,(12),-23.312705,-51.177291,Miyazaki Tintas
163,(41),-23.306080,-51.167166,JVC Comércio de Tintas Ltda
164,(13),-23.292830,-51.139291,Pisos Passarela
165,(2),-23.307455,-51.166791,Lord Master Chaveiro
166,(21),-23.300955,-51.176791,Maglon Motoserras Autorizada Stihl
167,(3),-23.301455,-51.171416,Angelo Mozzaquatro
168,(3),-23.301330,-51.168416,Casa das Cubas
169,(25),-23.304330,-51.168166,Ziliz
170,(42),-23.294705,-51.171166,Empório do Vidraceiro
171,(1),-23.293455,-51.112291,Teixeira Marques Comercial
172,(135),-23.298330,-51.169666,Zama Ferramentas e Artigos para Posto e Borracharia
173,(5),-23.308330,-51.164916,Mercado das Tintas
174,(2),-23.296830,-51.251666,Dickasa Ferragens e Construção
175,(150),-23.258204,-51.144291,Depósito Alvorada - Materiais de Construção
176,(176),-23.303705,-51.162666,Guaporé Tintas
177,(10),-23.300830,-51.177166,Visoar Refrigeração e Ar Condicionado
178,(32),-23.286580,-51.173166,Telas e Alambrados Brasil Londrina
179,(18),-23.312330,-51.155791,Duque ferramentas
180,(28),-23.312455,-51.155291,CBF FERRAMENTAS LTDA
181,(9),-23.307330,-51.163291,Mercadão das Tintas
182,(9),0,0,Mercadão das Tintas
183,(1),-23.300955,-51.176666,Maglon Motosserras Autorizada Motor Honda
184,(32),-23.300830,-51.161916,Box Hbv - Fiel Vidros - Vidraçaria em Londrina
185,(6),-23.297955,-51.169791,Fox Tintas
186,(36),-23.309580,-51.155291,Dafel Ferramentas
187,(34),-23.298455,-51.170416,Box Vidraçaria Araguaia
188,(8),-23.301080,-51.169291,deposito sao marcos
189,(122),-23.300955,-51.176666,Brasolda - O Mundo das Ferramentas
190,(5),-23.258329,-51.139916,ServLar Tintas e Utilidades
191,(299),-23.303330,-51.170166,Macripar Parafusos & Ferramentas
192,(235),-23.303830,-51.162791,ROPEL MÁQUINAS E FERRAMENTAS
193,(38),-23.304080,-51.168166,Craf Ziliz - Máquinas e Ferramentas
194,(54),-23.304205,-51.169541,Bonfim Tintas
195,(15),-23.304221,-51.168607,Macri & Macri
196,(31),-23.320080,-51.166791,Depósito Londrina
197,,-23.292455,-51.171291,Ferro Velho República da Sucata
198,(22),-23.305830,-51.178666,Inoxlon
199,(19),-23.309080,-51.160416,Z Casa & Cozinha
200,(10),-23.300580,-51.162916,Mega Andaimes
201,(11),-23.279955,-51.172666,Madeireira Casa Verde
202,(11),0,0,Madeireira Casa Verde
203,(3),-23.345080,-51.166666,"BUNKER - LOCAÇÃO CONTAINER LONDRINA, obras, reformas, industrias, eventos"
204,(3),0,0,"BUNKER - LOCAÇÃO CONTAINER LONDRINA, obras, reformas, industrias, eventos"
205,(5),-23.303038,-51.170799,LONDRINA TINTAS Lojas de Tintas Texturas e Grafiatos em Londrina
