1,Endereço 2,Endereço 1,Contato 2,Contato 1,Avaliação,Nome,Ranking,6,7
,"R. Pirapó, 234 - Vl Recreio, Londrina - PR, 86025-320","PR2Q+73 Vila Balarotti, Londrina - PR",(43) 3334-3807,Reivindicar esta empresa,(2),Art Jato-Jateamento em Vidro,"4,5",Adicionar horário,Adicionar website
,"Av. Dez de Dezembro, 7104 - Ouro Branco, Londrina - PR, 86046-140","JVW2+27 Ouro Branco, Londrina - PR",housepisoseacabamentos.com.br,(43) 3341-6009,(2),HOUSE Pisos Porcelanato e Acabamentos londrina construção,"4,5",,
,"R. Bahia, 534 - Jardim Palmares, Londrina - PR, 86025-010","MRWQ+VC Jardim Palmares, Londrina - PR",sintecadoralondrina.com,(43) 3344-0912,(2),Sintecadora Paulista,"4,5",,
,"Av. Nassim Jabur, 145 - Jardim dos Alpes, Londrina - PR, 86025-190","PR4P+XR Jardim dos Alpes, Londrina - PR",inoxlondrina.com.br,(43) 3339-5315,(2),Inox Londrina-Comércio de Metais,3,Reivindicar esta empresa,
,"R. Rio Paraná, 286 - Jardim Sao Paulo, Cambé - PR, 86185-300","PP3X+38 Jardim Sao Paulo, Cambé - PR",dickasa.com.br,(43) 3154-2900,(2),Dickasa Ferragens e Construção,5,,
,"R. Araguaia, 250 - Jardim Agari, Londrina - PR, 86025-720","PR2M+4W Jardim Agari, Londrina - PR",vitrinevirtual.net,(43) 3324-0024,(2),Parafusos Londrina,5,Reivindicar esta empresa,
,"R. Rio Paraná, 286 - Jardim Sao Paulo, Cambé - PR, 86185-300","PP3X+38 Jardim Sao Paulo, Cambé - PR",dickasa.com.br,(43) 3154-2900,(2),Dickasa Ferragens e Construção,5,,
,"R. Pref. Faria Lima, 1433 - Maringá, Londrina - PR, 86061-450","MRH6+C4 Maringá, Londrina - PR",pubdrtemtudo.wixsite.com,(43) 3347-6008,(197),Dr. Tem Tudo Casa e Construção,"4,5",,
,"R. Edivaldo Ferreira de Lima, 50 - Jardim Tropical, Londrina - PR, 86001-970","PVF2+V9 Jardim Tropical, Londrina - PR",(43) 3334-1256,Reivindicar esta empresa,(19),Depósito Tropical,"4,4",Adicionar website,
,"R. Tietê, 1750 - Jardim Tabapua, Londrina - PR, 86025-230","PR3H+XC Jardim Tabapua, Londrina - PR",depositolc.com.br,(43) 3334-1918,(184),Depósito LC,"4,6",,
,"Av. Robert Koch, 1385 - Jardim Vale do Cedro, Londrina - PR, 86037-010","MVCJ+GX Jardim Vale do Cedro, Londrina - PR",depositoromani.com.br,(43) 3339-9193,(176),Depósito Romani Construção e Acabamentos,"4,3",Gerenciar esta ficha,
,"Av. Chepli Tanus Daher, 105 - Jardim Acapulco, Londrina - PR, 86045-000","JRRV+4J Jardim Acapulco, Londrina - PR",(43) 3341-5455,Reivindicar esta empresa,(17),Depósito de Materiais de Construção Buba,"4,5",Adicionar horário,Adicionar website
,"Av. Nassim Jabur, 1009 - Paulista, Londrina - PR, 86079-050","PR4W+W9 Paulista, Londrina - PR",telhascipo.com.br,(43) 3336-4653,(17),TELHAS CIPÓ | TELHAS EM LONDRINA | MENOR PREÇO,"4,8",,
,"Av. Bento Amaral Monteiro - Cinco Conjuntos, Londrina - PR, 86084-830","QV32+FQ Cinco Conjuntos, Londrina - PR",(43) 3339-6725,Adicionar website,(17),Depósito Ipanema,"4,4",,
,"R. Mato Grosso, 492 - Centro, Londrina - PR, 86010-180","MRPV+P9 Centro, Londrina - PR",(43) 3322-0083,Reivindicar esta empresa,(17),Casa Paulo,"3,8",Adicionar website,
,"Av. Brasília, 2815 - Parque Abc 2, Londrina - PR, 86025-180","PR5J+7Q Parque Abc 2, Londrina - PR",acoferlondrina.com.br,(43) 3329-3229,(16),Açofer,"4,2",,
,"Av. Saul Elkind, 731 - Conj. Semiramis Barros Braga, Londrina - PR, 86085-000","PVR4+G7 Conj. Semiramis Barros Braga, Londrina - PR",depositoalvorada.com.br,(43) 3373-4686,(150),Depósito Alvorada - Materiais de Construção,"4,5",,
,"Av. Saul Elkind, 731 - Conj. Semiramis Barros Braga, Londrina - PR, 86085-000","PVR4+G7 Conj. Semiramis Barros Braga, Londrina - PR",depositoalvorada.com.br,(43) 3373-4686,(150),Depósito Alvorada - Materiais de Construção,"4,5",,
,"Av. Saul Elkind, 731 - Conj. Semiramis Barros Braga, Londrina - PR, 86085-000","PVR4+G7 Conj. Semiramis Barros Braga, Londrina - PR",depositoalvorada.com.br,(43) 3373-4686,(150),Depósito Alvorada - Materiais de Construção,"4,5",,
,"Av. Saul Elkind, 731 - Conj. Semiramis Barros Braga, Londrina - PR, 86085-000","PVR4+G7 Conj. Semiramis Barros Braga, Londrina - PR",depositoalvorada.com.br,(43) 3373-4686,(150),Depósito Alvorada - Materiais de Construção,"4,5",,
,"Av. Saul Elkind, 731 - Conj. Semiramis Barros Braga, Londrina - PR, 86085-000","PVR4+G7 Conj. Semiramis Barros Braga, Londrina - PR",depositoalvorada.com.br,(43) 3373-4686,(150),Depósito Alvorada - Materiais de Construção,"4,5",,
,"Av. Saul Elkind, 731 - Conj. Semiramis Barros Braga, Londrina - PR, 86085-000","PVR4+G7 Conj. Semiramis Barros Braga, Londrina - PR",depositoalvorada.com.br,(43) 3373-4686,(150),Depósito Alvorada - Materiais de Construção,"4,5",,
,"Av. Jorge Casoni, 2396 - Centro, Londrina - PR, 86026-110","MRPX+VC Centro, Londrina - PR",diprotec.com.br,(43) 3037-7222,(15),Diprotec - Distr. Produtos Técnicos para Construção Civil,"4,8",Gerenciar esta ficha,Adicionar horário
,"R. Araguaia, 995 - Vl Nova, Londrina - PR, 86025-720","PR2H+Q4 Jardim Tabapua, Londrina - PR",(43) 3325-3750,Reivindicar esta empresa,(15),Depósito Araguaia,"4,7",Adicionar horário,Adicionar website
,"Av. das Laranjeiras, 1590 - Marumbi, Londrina - PR, 86035-090","MVP7+QX Marumbi, Londrina - PR",facebook.com,(43) 3334-2014,(15),Depósito Construforte,"4,6",,
,"R. Mossoró, 431 - Centro, Londrina - PR, 86020-290","MRVJ+8V Centro, Londrina - PR",negocio.site,(43) 3024-4508,(14),Viva Cor Tintas Londrina,"4,7",,
,"R. Minas Gerais, 194 - sala 207 - Centro, Londrina - PR, 86010-170","MRRR+3W Centro, Londrina - PR",bit.ly,(43) 3323-0693,(14),Londokap sua Kapazi em Londrina,"4,7",,
,"Av. Santos Dumont, 1460 - Bairro Aeroporto, Londrina - PR, 86039-090","MVG5+3F Bairro Aeroporto, Londrina - PR",(43) 3025-4445,Adicionar website,(13),PisoFácil (Store) (Pisos e Revestimentos),"4,4",,
,"Avenida Fernando Cerqueira César Coimbra, 830 Parque - Industrial, Londrina - PR","PQ7Q+HR Industrial, Londrina - PR",todimo.com.br,(43) 3376-5500,(127),Todimo Centro de Distribuição,"4,1",Reivindicar esta empresa,
,"Rod. Mabio Gonçalves Palhano, 955 - Gleba Fazenda Palhano, Londrina - PR, 86055-585","MR36+VC Gleba Fazenda Palhano, Londrina - PR",(43) 3028-2222,Reivindicar esta empresa,(12),Gol Materiais Para Construção,"4,7",Adicionar horário,Adicionar website
,"R. Madressilva, 461 - Parque das Industrias, Londrina - PR, 86042-270","JVH6+V6 Parque das Industrias - Quilometro Nove, Londrina - PR",(43) 3342-7005,Adicionar website,(12),Depósito Itasa Materiais para Construção,"4,3",,
,"Av. das Maritacas, 1950 - Indusville, Londrina - PR, 86031-070","PV7H+QQ Indusville, Londrina - PR",(43) 3329-1163,Reivindicar esta empresa,(12),Depósito Maritacas,"4,8",Adicionar website,
,"R. Mitomu Simamura, 426 - N Amparo, Londrina - PR, 86043-030","JVM8+27 Parque das Industrias - Quilometro Nove, Londrina - PR",(43) 3341-1174,Reivindicar esta empresa,(12),Depósito Montimó,"4,8",Adicionar website,
,"Av. Duque de Caxias, 3270 - Centro, Londrina - PR, 86025-140","MRPV+HX Centro, Londrina - PR",(43) 3357-0405,Adicionar website,(12),Londrina Motosserras,5,,
,"Av. Francisco Gabriel Arruda, 1158 - Cj - Parigot De Souza, Londrina - PR, 86081-000","PRPF+4W Parigot De Souza, Londrina - PR",casagrandedeposito.com.br,(43) 3347-1000,(118),Depósito Casa Grande - Materiais para Construção,"4,5",,
,"Rod. Celso Garcia Cid, 3050 - Jardim Novo Bandeirantes, Londrina - PR, 86188-000","MQRH+QG Jardim Silvino, Cambé - PR",montten.com.br,(43) 3251-4242,(118),Depósito Montten,"4,3",,
,"Av. Jamil Scaff, 850 - Conjunto Habitacional Alexandr, Londrina - PR, 86037-000","MVHR+52 Lon Rita, Londrina - PR",(43) 3337-6559,Reivindicar esta empresa,(117),Depósito Montimó IV,"4,6",Adicionar website,
,"Av. Maringá, 1765 - Vitoria, Londrina - PR, 86060-000","MRJF+X8 Vitoria, Londrina - PR",centermaringa.com.br,3327-4545,(115),DEPOSITO MARINGA,"4,7",,
,"R. das Limeiras, 270 - Marabá, Londrina - PR, 86035-630","MVWC+Q6 Marabá, Londrina - PR",(43) 3321-2736,Reivindicar esta empresa,(11),Naldo Materiais,"3,8",Adicionar horário,Adicionar website
,"Av. Francisco Gabriel Arruda, 536 - Cj Parigot de Souza, Londrina - PR, 86081-000","PRJF+CW Conj. Parigot de Souza 3, Londrina - PR",depositocolibri.com.br,(43) 3338-2562,(102),Depósito Colibri Materiais para Construção,"4,6",Reivindicar esta empresa,
,"R. Belém, 66 - Vila Casoni, Londrina - PR, 86026-000","MRWX+76 Vila Casoni, Londrina - PR",(43) 3324-8584,Adicionar website,(10),Ponto Util Comercio de Materiais Hidraulicos,"4,9",,
,"Av. Duque de Caxias, 1980 - Centro, Londrina - PR, 86010-190","MRQV+XV Centro, Londrina - PR",Reivindicar esta empresa,Adicionar número de telefone,(1),Papaes Comércio Materiais de Construção,5,Adicionar horário,Adicionar website
,"Av. Aracy Soares Santos, 127 - Jd Santiago, Londrina - PR, 86071-790","PR84+V4 Leonor, Londrina - PR",(43) 3328-3603,Reivindicar esta empresa,(1),Lajomad Comércio de Lajotas Madeiras e Materiais para Construção Ltda,3,Adicionar website,
,"Comtipo João , S , Av 2633, Londrina - PR, 86036-030","MVJF+G9 Antares, Londrina - PR",(43) 3325-4311,Reivindicar esta empresa,(1),Duk Mellos Materiais Construção,5,Adicionar website,
,"Av. da Liberdade, 52 - Carnascialli, Londrina - PR, 86077-080","PRCH+C5 Carnascialli, Londrina - PR",(43) 3347-5767,Reivindicar esta empresa,(1),Central Norte e Concrevith Materiais para construção,5,Adicionar website,
,"R. Belo Horizonte, 477 - Centro, Londrina - PR, 86020-060","MRRM+J9 Centro, Londrina - PR",casaacabamentos.com.br,(43) 3324-5133,(1),Casa Acabamentos,1,,
,"R. Canudos, 286 - Jardim Higienopolis, Londrina - PR, 86015-040","MRHH+CR Jardim Higienopolis, Londrina - PR",Reivindicar esta empresa,Adicionar número de telefone,(1),P.r.p. Empreendimentos e Construção Civil Ltda - Epp,5,Adicionar horário,Adicionar website
,"R. Guaporé, 565 - Jardim Palmares, Londrina - PR, 86025-000","MRWP+XR Jardim Palmares, Londrina - PR",impercenter.negocio.site,(43) 3326-8060,(1),ImperCenter - Produtos e Serviços Técnicos,5,,
,"R. Lindalva Silva Bassetto, 1385 - Jd Alto da Boa Vista, Londrina - PR, 86083-290","PRJH+V3 Alto da Boa Vista, Londrina - PR",(43) 3325-1600,Reivindicar esta empresa,(1),Casa Boa Vista Materiais Elétricos Hidráulicos e Ferramentas,5,Adicionar website,
,"Av. Tiradentes, 155 - Jardim Shangri-Lá A, Londrina - PR, 86070-545","MRXF+4W Jardim Shangri-Lá A, Londrina - PR",kijanelas.com.br,Reivindicar esta empresa,(1),Kijanelas Tudo em Portas e Janelas,1,Adicionar número de telefone,Adicionar horário
,"R. Quintino Bocaiúva, 1205 - Centro, Londrina - PR, 86020-150","MRWH+Q6 Centro, Londrina - PR",(43) 3357-1455,Adicionar website,(1),Ditudo Material Eletrico & Hidraulicos,5,,
,"R. Fernando de Noronha, 1280 - Centro, Londrina - PR, 86060-410","MRVF+2R Centro, Londrina - PR",(43) 3324-6598,Reivindicar esta empresa,(1),MF Ferramentas,1,Adicionar website,
,"R. Quintino Bocaiúva, 1196 - Centro, Londrina - PR, 86020-150","MRWH+R7 Centro, Londrina - PR",superamarelas.com,(43) 3326-2087,(1),MARANDOLA TINTAS,5,Reivindicar esta empresa,Adicionar horário
,"R. Araguaia, 250 - Vl Nova, Londrina - PR, 86025-720","PR2J+FF Jardim Oguido, Londrina - PR",jcparafusos.vitrinevirtual.net,(43) 3356-2446,(1),JC Parafusos,3,Reivindicar esta empresa,
,"Av. São João, 57 - Brasília, Londrina - PR, 86089-050","MVM3+57 Brasília, Londrina - PR",gessomax.com,(43) 3338-0018,(1),Gessomax Comércio de Gesso LTDA-ME,4,,
,"Av. Maringá, 2345 - Vitoria, Londrina - PR, 86060-180","MRGF+VJ Vitoria, Londrina - PR",kiantapetes.com.br,(43) 3025-6959,(1),Kian Arte em Tapetes - Londrina,5,Gerenciar esta ficha,
,"R. Bahia, 534 - Jardim Palmares, Londrina - PR, 86025-010","MRWQ+VC Jardim Palmares, Londrina - PR",vernizantichamalondrina.com,(43) 3344-0912,(1),Verniz Antichama Londrina,5,,
"Av. Tiradentes, 771 - Jardim Shangri-Lá A, Londrina - PR, 86070-545","MRXG+55 Jardim Shangri-Lá A, Londrina - PR",(43) 3025-2070,Reivindicar esta empresa,Adicionar website,,Aqui K J R Pisos e Materiais de Construção,,,
"Av. Maringá, 1615 - Vitoria, Londrina - PR, 86061-560","MRMF+H6 Vitoria, Londrina - PR",(43) 3025-6738,Reivindicar esta empresa,Adicionar horário,,Roschel Materiais de Construção,,Adicionar website,
"R. Lázaro Zamenhof, 450 - Jd San Fernando, Londrina - PR, 86040-350","MV67+76 Califórnia, Londrina - PR",(43) 3326-8416,Reivindicar esta empresa,Adicionar horário,,Tend Casa Materiais para Construção,,Adicionar website,
"Av. Europa, 57 - Parque Res. Joao Piza, Londrina - PR, 86041-000","JVW6+JR Parque Res. Joao Piza, Londrina - PR",(43) 3341-7336,Reivindicar esta empresa,Adicionar website,,Depósito Pizza Materiais para Construção,,,
"R. Tapuias, 415 - João Paz, Londrina - PR, 86027-110","PV33+MR João Paz, Londrina - PR",(43) 3337-0524,Reivindicar esta empresa,Adicionar horário,,Tapuias Madeiras e Materiais para Construção,,Adicionar website,
"Av. Francisco Gabriel Arruda, 960 - Conj. Parigot de Souza 1, Londrina - PR, 86083-100","PRMF+GV Conj. Parigot de Souza 1, Londrina - PR",depositobrasilsul.com.br,(43) 3254-1740,Reivindicar esta empresa,,Depósito Brasil Sul,,Adicionar horário,
"Av. São João, 2385 - Antares, Londrina - PR, 86036-030","MVJF+JQ Antares, Londrina - PR",(43) 3337-6206,Reivindicar esta empresa,Adicionar website,,Depósito Horizonte,,,
"R. Quintino Bocaiúva - Centro, Londrina - PR, 86020-150","MRVM+64 Centro, Londrina - PR",(43) 3342-1755,Adicionar website,,,IMPERCOM IMPERMEABILIZANTE,,,
"R. Guadalajara, 240 - Santa Rosa, Londrina - PR, 86050-100","MR8H+G4 Santa Rosa, Londrina - PR",niceatelie.com.br,(43) 3304-8555,Reivindicar esta empresa,,Nice,,Adicionar horário,
"R. Pirapó, 234 - Vila Zanetti, Londrina - PR, 86025-320","PR2Q+82 Vila Zanetti, Londrina - PR",(43) 3337-4525,Reivindicar esta empresa,Adicionar horário,,ART Jato Com de Massa P Vidro,,Adicionar website,
"R. Rolândia - Aurora, Londrina - PR, 86060-430","MRRF+J8 Aurora, Londrina - PR",eletronor.com.br,Reivindicar esta empresa,Adicionar número de telefone,,Eletronor Materiais Elétricos,,,
"R. Goiás, 610 - Centro, Londrina - PR, 86010-460","MRMV+W2 Centro, Londrina - PR",forteacessorios.com.br,(43) 3025-1449,Reivindicar esta empresa,,Forte Acessórios Industriais - Filial Londrina,,,
"R. Bahia, 534 - Centro, Londrina - PR, 86025-010","MRWQ+VC Centro, Londrina - PR",londrinatintas.com.br,(43) 3344-0912,Gerenciar esta ficha,,TINTAS LONDRINA,,,
"R. Belo Horizonte, 305 - Centro, Londrina - PR, 86020-060","MRVM+78 Centro, Londrina - PR",aiyellow.com,(43) 3344-6100,,,Multi-Itens,,,
"Av. Arcebispo Dom Geraldo Fernandes, 2511 - Centro, Londrina - PR, 86010-360","MRXJ+8G Centro, Londrina - PR",(43) 3025-4929,Reivindicar esta empresa,Adicionar horário,,Arte & Cor Tintas,,Adicionar website,
"R. São Vicente, 1461 - Jardim Palmares, Londrina - PR, 86025-040","PR4Q+6R Jardim Palmares, Londrina - PR",sintecolondrina.com.br,(43) 99102-8588,Reivindicar esta empresa,,SINTECO LONDRINA / LIXAMENTO TACO - ASSOALHO - APLICAÇÃO SINTECO - RESTAURAÇÃO PISO MADEIRA,,,
"R. Araguaia, 264 - SL 2 - Jardim Agari, Londrina - PR, 86025-720","PR2M+6W Jardim Agari, Londrina - PR",rpmtintas.com,(43) 3029-0580,,,RPM TINTAS,,,
"R. Araguaia, 978 - Jardim Agari, Londrina - PR, 86025-720","PR2H+R5 Jardim Agari, Londrina - PR",Reivindicar esta empresa,Adicionar número de telefone,Adicionar horário,,Compensados Dias Madeiras,,Adicionar website,
"estr MAJ Achilles P Ferreira - Km 05, PR",(43) 3336-1076,Reivindicar esta empresa,Adicionar horário,Adicionar website,,Master Revestimento De Madeira,,,
"R. Guaporé, 618 - Vila Nova, Londrina - PR, 86025-000","MRXP+4X Vila Nova, Londrina - PR",(43) 3343-3333,Reivindicar esta empresa,Adicionar website,,Mundial Tintas,,,
"Rua Iguaçu, 135 - Jardim Palmares, Londrina - PR, 86025-430","PR2M+JH Jardim Palmares, Londrina - PR",(43) 3334-1880,Reivindicar esta empresa,Adicionar website,,Pa Ubá Artefatos de Madeira,,,
"R. Teresina, 159 - Vila Shima Bokuro, Londrina - PR, 86020-250","MRWJ+F5 Vila Shima Bokuro, Londrina - PR",(43) 99103-6020,Reivindicar esta empresa,Adicionar horário,,Metalúrgica e Serralheria Souza'rte,,Adicionar website,
"R. Iguape, 229 - Vl Nova, Londrina - PR, 86025-740","PR2G+GQ Jardim Tabapua, Londrina - PR",(43) 3327-5745,Reivindicar esta empresa,Adicionar horário,,Serralheria Projetos,,Adicionar website,
"Av. Tiradentes, 929 - Jardim Shangri-Lá A, Londrina - PR, 86070-545","MRX8+HX Jardim Shangri-Lá A, Londrina - PR",jbritomadeiras.com.br,(43) 3328-4414,Reivindicar esta empresa,,J Brito Madeiras,,Adicionar horário,
