,0,1,2,3,4,5,Avaliação,Nome,Ranking,6,7
0,,,"R. Santa Teresinha, 843 - Fraternidade, Londrina - PR, 86027-620","MVQ5+G3 Fraternidade, Londrina - PR",(43) 3339-2034,Adicionar website,(19),Pisos Londrina - Paver,"4,3",,
1,,,"R. Pará, 2011 - Centro - Quebec, Londrina - PR, 86020-400","MRPH+5J Quebec, Londrina - PR",londonpisos.com.br,(43) 3031-1650,(42),London Pisos,"4,8",,
2,,,"R. Dolores Peralta, 20 - Parque Waldemar Hauer, Londrina - PR, 86030-270","PV46+M7 Ideal, Londrina - PR",pisospassarela.com.br,(43) 3339-6013,(13),Pisos Passarela,"4,4",,
3,,,"Av. Santos Dumont, 1460 - Bairro Aeroporto, Londrina - PR, 86039-090","MVG5+3F Bairro Aeroporto, Londrina - PR",(43) 3025-4445,Adicionar website,(13),PisoFácil (Store) (Pisos e Revestimentos),"4,4",,
4,,,"Av. Theodoro Victorelli, 255 - Helena, Londrina - PR, 86089-050","MVQ3+H8 Helena, Londrina - PR",pisoaqui.com.br,(43) 3339-8011,(50),PisoAqui,"4,2",,
5,,,"Av. Dez de Dezembro, 7104 - Ouro Branco, Londrina - PR, 86046-140","JVW2+27 Ouro Branco, Londrina - PR",housepisoseacabamentos.com.br,(43) 3341-6009,(2),HOUSE Pisos Porcelanato e Acabamentos londrina construção,"4,5",,
6,,,"Av: Tirandentes, 901 - Jardim Shangri-Lá A, Londrina - PR, 86062-000","MRX9+G6 Jardim Shangri-Lá A, Londrina - PR",lgpisos.com.br,(43) 3348-3165,(5),LG Pisos,"4,6",,
7,,,"Av. Arcebispo Dom Geraldo Fernandes, 2777 - Loja 03 - Jardim Agari, Londrina - PR, 86020-145","MRXH+HJ Jardim Agari, Londrina - PR",stilloacabamentos.com.br,(43) 3029-8585,(7),Stillo Acabamentos,"4,9",,
8,,,"Av. Dez de Dezembro, 7105 - Lago Igapó, Londrina - PR, 86026-220","JVV2+RC Chácaras Mussahiro, Londrina - PR",negocio.site,(43) 3341-6009,(2),Casalon Pisos e acabamentos,"3,0",,
9,,,"R. Paes Leme, 783 - Centro, Londrina - PR, 86010-610","MRGV+P8 Centro, Londrina - PR",negocio.site,(43) 3322-7799,(8),Decorando Pisos Laminados e Acabamentos,"4,9",,
10,,,"R. Brasil, 1831 - Centro, Londrina - PR, 86010-200","MRFW+RH Centro, Londrina - PR",rekamil.com.br,(43) 3356-1000,(17),Rekamil Laminados,"4,3",,
11,,,"R. José da Silva, 130 - Jardim Taroba I, Londrina - PR, 86042-280","JRQX+FV Jardim Taroba I, Londrina - PR",(43) 3341-4010,Reivindicar esta empresa,(4),gb pisos,"4,8",Adicionar website,
12,,,"Av. Tiradentes, 929 - Jardim Shangri-Lá A, Londrina - PR, 86070-545","MRX8+HX Jardim Shangri-Lá A, Londrina - PR",(43) 3378-0800,Reivindicar esta empresa,(8),Globo Pisos,"3,9",Adicionar horário,Adicionar website
13,,,"R. Guaporé, 739 - Jardim Palmares, Londrina - PR, 86025-000","MRXP+HR Jardim Palmares, Londrina - PR",(43) 3334-0557,Adicionar website,(40),Pisolon,"4,0",,
14,,,"Av. Santos Dumont, 502 - Bairro Aeroporto, Londrina - PR, 86089-050","MVJ3+92 Bairro Aeroporto, Londrina - PR",pisoslaminadosemlondrina.blogspot.com,(43) 99992-1802,(3),Pisos Laminados Londrina,"5,0",,
15,,,"Rodovia Carlos João Strass, 605 - Garden Park Residence, Londrina - PR, 86079-246","PV62+QM Garden Park Residence, Londrina - PR",pisoforteacabamentos.com.br,(43) 3334-2374,(3),Piso Forte Acabamentos,"4,3",Reivindicar esta empresa,
16,,,"Av. Higienópolis, 2527 - Guanabara, Londrina - PR, 86050-000","MR9M+43 Guanabara, Londrina - PR",projetonatural.com.br,(43) 3324-8000,(1),Projeto Natural-Pisos e Acabamentos em Madeira,"4,0",,
17,,,"Tv. Belém, 50 - Centro, Londrina - PR, 86071-650","MRWP+9C Centro, Londrina - PR",europiso.com.br,(43) 3024-3345,(3),Europiso Com de Pisos Indl,"4,7",Reivindicar esta empresa,Adicionar horário
18,,,"Av. Ayrton Senna da Silva, 850 - Gleba Fazenda Palhano, Londrina - PR, 86061-650","MR8C+6R Gleba Fazenda Palhano, Londrina - PR",portobelloshop.com.br,(43) 3375-3737,(33),Portobello Shop,"4,6",Reivindicar esta empresa,
19,,,"Av. Rio Branco, 880 - Jardim Agari, Londrina - PR, 86025-595","PR4G+9R Jardim Agari, Londrina - PR",(43) 3328-3243,Adicionar website,(52),Museu dos Azulejos,"4,2",,
20,,,"Av. Dez de Dezembro, 7670 - JARDIM IGAPO, Londrina - PR, 86046-140","JRRX+QH Inglaterra, Londrina - PR",romaniconstrucao.com.br,(43) 3341-5688,(280),DEPÓSITO ROMANI,"4,5",,
21,,,"R. Rio Paraná, 286 - Jardim Sao Paulo, Cambé - PR, 86185-300","PP3X+38 Jardim Sao Paulo, Cambé - PR",dickasa.com.br,(43) 3154-2900,(2),Dickasa Ferragens e Construção,"5,0",,
22,,,"Av. Tiradentes, 1240 - Jardim Shangri-Lá A, Londrina - PR, 86070-545","MRX7+VQ Jardim Shangri-Lá A, Londrina - PR",araucariaacabamentos.com.br,(43) 3339-0800,(18),Araucária Acabamentos,"4,8",,
23,,,"Av. Theodoro Victorelli, 650L - Jardim Helena, Londrina - PR, 86027-750","MVP4+RH Fraternidade, Londrina - PR",leroymerlin.com.br,(43) 99153-3076,(410),Leroy Merlin Londrina,"4,0",,
24,,,"Av. Juscelino Kubitscheck, 4926 - Jardim Tropical, Londrina - PR, 86039-120","MVJ2+6P Jardim Tropical, Londrina - PR",(43) 3344-8454,Adicionar horário,(1),Piso Pavaneli,"5,0",Adicionar website,
25,,,"Av. Higienópolis, 2760 - Guanabara, Londrina - PR, 86050-000","MR8J+8R Guanabara, Londrina - PR",casaobjeto.com.br,(43) 3336-4568,(5),Casa Objeto,"5,0",,
26,,"SHOPPING COLISEU - R. Arcindo Sardo, 460 - SL 03 - Jardim das Americas, Londrina - PR, 86076-140","PR7F+J5 Jardim das Americas, Londrina - PR",(43) 3347-3202,Adicionar website,,,PISOFIT - LAMINADOS & VINÍLICOS,,,
27,,,"R. Sen. Souza Naves - Centro, Londrina - PR, 86010-921","MRPR+3X Centro, Londrina - PR",sintecolondrina.blogspot.com,(43) 3326-6873,(6),Sinteco Londrina,"5,0",,
28,,,"Av. Tiradentes, 2760 - Cilo III, Londrina - PR, 86071-000","PQ3X+82 Cilo III, Londrina - PR",telhanorte.com.br,(43) 3878-5109,(847),Telhanorte Tiradentes,"4,1",Gerenciar esta ficha,
29,,"R. Pernambuco, 162 - Centro, Londrina - PR, 86020-120","MRRP+6R Centro, Londrina - PR",(43) 3028-2929,Reivindicar esta empresa,Adicionar website,,Grupo Xara (Decoração - Acabamentos - Pisos - Móveis - Cerâmica - Empilhadeiras),,,
30,,,"Rod. Celso Garcia Cid, 2198 - Jardim Rivieira, Cambé - PR, 86187-025","MQXF+79 Jardim Rivieira, Cambé - PR",(43) 3154-8454,Adicionar website,(31),Piso Pavaneli,"4,2",,
31,,"Av. Tiradentes, 771 - Jardim Shangri-Lá A, Londrina - PR, 86070-545","MRXG+55 Jardim Shangri-Lá A, Londrina - PR",(43) 3025-2070,Reivindicar esta empresa,Adicionar website,,Aqui K J R Pisos e Materiais de Construção,,,
32,,,"Av. Alexandre Santoro, n° 1470 - Jardim Continental, Londrina - PR, 86083-000","PRQ9+3Q Jardim Continental, Londrina - PR",forropiso.com.br,(43) 3347-6915,(3),Forro Piso Vendas e Montagens,"3,7",,
33,,,"R. Bahia, 274 - Centro, Londrina - PR, 86026-020","MRVQ+WF Centro, Londrina - PR",diviplus.com.br,(43) 3025-5500,(90),Diviplus Acabamentos,"4,5",,
34,,,"R. João Batista Santana, 28 - Jardim Tropical, Londrina - PR, 86087-649","PV92+X8 Jardim Tropical, Londrina - PR",(43) 3322-8454,Adicionar website,(1),Piso Pavaneli,"5,0",,
35,,"R. Espírito Santo, 87 - apartamento 501 - Centro, Londrina - PR, 86010-510","MRMW+9Q Centro, Londrina - PR",(43) 98426-2029,Reivindicar esta empresa,Adicionar horário,,Justo Pisos e Revestimentos,,Adicionar website,
36,,,"R. Pio Felizardo da Costa, 155 - Casa, Londrina - PR, 86087-552","PVP5+HV Cinco Conjuntos, Londrina - PR",(43) 98456-7356,Reivindicar esta empresa,(1),Thiago Rodrigues Azulejista,"5,0",Adicionar horário,Adicionar website
37,,,"Av. Duque de Caxias, 670 - Leonor, Londrina - PR, 86015-000","MR8X+7W Europa, Londrina - PR",(43) 3025-4144,Adicionar website,(3),Living Decor - Lisa Medeiros,"5,0",,
38,,,"Av. Tiradentes, 1181 - Jardim Shangri-Lá A, Londrina - PR, 86070-000","MRX8+J3 Jardim Shangri-Lá A, Londrina - PR",todimo.com.br,(43) 3375-5501,(725),Todimo,"4,4",Gerenciar esta ficha,
39,,,"Av. Dez de Dezembro, 7670 - JARDIM IGAPO, Londrina - PR, 86046-140","JRRX+QH Inglaterra, Londrina - PR",romaniconstrucao.com.br,(43) 3341-5688,(280),DEPÓSITO ROMANI,"4,5",,
40,,"R. João-de-Barro, 375 - Indústrias Leves, Londrina - PR, 86030-320","PV59+VR Indústrias Leves, Londrina - PR",(43) 3356-9871,Reivindicar esta empresa,Adicionar website,,TRE FRATELLI - Jateamento e Revestimento Anti-corrosivo,,,
41,,,"Av. Jamil Scaff, 2071 - Jardim Santa Alice, Londrina - PR, 86036-692","MVPJ+VJ Jardim Santa Alice, Londrina - PR",depositoromani.com.br,(43) 3321-9590,(6),Romani - Construção e Acabamentos,"5,0",Gerenciar esta ficha,
42,,,"R. Rio Paraná, 286 - Jardim Sao Paulo, Cambé - PR, 86185-300","PP3X+38 Jardim Sao Paulo, Cambé - PR",dickasa.com.br,(43) 3154-2900,(2),Dickasa Ferragens e Construção,"5,0",,
43,,(43) 3347-2132,Adicionar website,,,,,Lamilondon,,,
44,,,"Av. Dez de Dezembro, 1867 - Lago Igapó, Londrina - PR, 86028-220","MVQ2+VG Lago Igapó, Londrina - PR",ambientalmadeiras.com.br,(43) 3324-6292,(1),Ambiental Madeiras Indusparquet,"5,0",Adicionar horário,
45,,,"377 Rodovia Celso Garcia Cid, AE / 01 - Gleba Fazenda Palhano, Londrina - PR, 86050-901",,"MR56+2X Gleba Fazenda Palhano, Londrina - PR",telhanorte.com.br,(989),Telhanorte Catuaí,"4,1",(43) 3878-5200,Gerenciar esta ficha
46,,,"Av. Europa, 962 - Jd Piza, Londrina - PR, 86041-000","JVW6+FV Parque Res. Joao Piza, Londrina - PR",depositoroseira.com,(43) 3341-4222,(235),Depósito Roseira - Construção e Acabamentos,"4,7",,
47,,,"Av. Saul Elkind, 2900 - Jardim Athenas, Londrina - PR, 86082-001","PRRP+HJ Jardim Athenas, Londrina - PR",todimo.com.br,(43) 3372-5000,(274),Todimo,"4,2",Gerenciar esta ficha,
48,,"R. das Indústrias, 226 - Cidadela, Londrina - PR, 86072-100","PQ4R+HC Cidadela, Londrina - PR",passalacqua.com.br,(43) 3347-2928,Reivindicar esta empresa,,Passalacqua & Cia,,Adicionar horário,
49,,,"Tv. Belém, 50 - Centro, Londrina - PR, 86026-460","MRWP+9C Centro, Londrina - PR",europiso.com.br,(43) 3339-1140,(4),Europiso Comércio de Pisos Industriais,"4,8",Reivindicar esta empresa,
50,,,"Av. Tiradentes, 777 - Jardim Shangri-Lá A, Londrina - PR, 86062-000","MRX9+FH Jardim Shangri-Lá A, Londrina - PR",(43) 3322-2400,Reivindicar esta empresa,(3),Casa De Piso,"3,7",Adicionar website,
51,,,"Av. Robert Koch, 1385 - Jardim Vale do Cedro, Londrina - PR, 86037-010","MVCJ+GX Jardim Vale do Cedro, Londrina - PR",depositoromani.com.br,(43) 3339-9193,(176),Depósito Romani Construção e Acabamentos,"4,3",Gerenciar esta ficha,
52,,,"R. Fernando de Noronha, 452 - Centro, Londrina - PR, 86020-300","MRRM+X5 Centro, Londrina - PR",clicpiso.com.br,(43) 3323-6804,(2),"Clicpiso Pisos Laminados, Persianas, Portas prontas, divisórias....","5,0",,
53,,,"Av. Maringá, 464 - Vitoria, Londrina - PR, 86060-680","MRVC+QF Vitoria, Londrina - PR",lumydecor.com.br,(43) 3356-5932,(7),Lumy Decor Pisos Laminados & Acabamentos,"4,9",,
54,,,"R. Fortaleza, 271 - Agari, Londrina - PR, 86020-240","MRXJ+89 Agari, Londrina - PR",depositosaomarcos.com.br,(43) 3376-1600,(317),Depósito São Marcos,"4,4",Reivindicar esta empresa,
55,,,"R. Joaquim Lacerda, 74 - Boa Vista, Londrina - PR, 86015-260","MRGM+Q6 Boa Vista, Londrina - PR",pisosglobal.com.br,(43) 3322-4411,(2),Global Pisos,"5,0",,
56,,,"R. Belo Horizonte, 477 - Centro, Londrina - PR, 86020-060","MRRM+J9 Centro, Londrina - PR",casaacabamentos.com.br,(43) 3324-5133,(1),Casa Acabamentos,"1,0",,
57,,,"Av. Arcebispo Dom Geraldo Fernandes, 2777 - Lj 03 - Jardim Agari, Londrina - PR, 86020-146","MRXH+HJ Jardim Agari, Londrina - PR",(43) 3025-3333,Adicionar website,(1),Quality Instalações - Pisos Laminados / Vinilicos e Rodapés,"5,0",,
58,,,"R. Guilherme da Mota Corrêa, 4089 - Jardim Shangri-Lá A, Londrina - PR, 86070-460","PR29+JV Jardim Shangri-Lá A, Londrina - PR",(43) 3328-5466,decorpisoslondrina.com.br,(11),Decor Pisos Revestimentos Forros e Divisórias,"4,6",Adicionar website,
59,,,"R. Santo Favoreto, 346 - Santa Joana, Londrina - PR, 86044-100","JVC9+WX Santa Joana - Quilometro Nove, Londrina - PR",(43) 99662-4415,Reivindicar esta empresa,(1),master apper desenvolvimento de aplicativos,"5,0",Adicionar website,
60,,,"Avenida Fernando Cerqueira César Coimbra, 830 Parque - Industrial, Londrina - PR","PQ7Q+HR Industrial, Londrina - PR",todimo.com.br,(43) 3376-5500,(127),Todimo Centro de Distribuição,"4,1",Reivindicar esta empresa,
61,,,"R. Angelina Ricci Vezozzo, 3263 - JD ITAPARICA, Londrina - PR, 86087-340","PVP6+4M Cinco Conjuntos, Londrina - PR",(43) 3339-0748,Adicionar website,(13),ANDAIMES PISO NORTE,"4,7",,
62,,"R. São Vicente, 1461 - Jardim Palmares, Londrina - PR, 86025-040","PR4Q+6R Jardim Palmares, Londrina - PR",sintecolondrina.com.br,(43) 99102-8588,Reivindicar esta empresa,,SINTECO LONDRINA / LIXAMENTO TACO - ASSOALHO - APLICAÇÃO SINTECO - RESTAURAÇÃO PISO MADEIRA,,,
63,,,"R. Guaporé, 739 - Jardim Palmares, Londrina - PR, 86025-000","MRXP+JR Jardim Palmares, Londrina - PR",allurefloors.com.br,(43) 99800-9825,(5),Allure Floors - Pisos Laminados e Vinílicos em Londrina,"5,0",,
